model,method,n_pairs,n_tasks,diff_mean,diff_lo,diff_hi
gpt-j-6b,fv,27,14,0.5100028572250794,0.33370350345625066,0.6745934249282464
gpt-j-6b,tv,27,14,0.2820072931184042,0.12234708706930937,0.43627227930799356
llama-3.1-8b,fv,9,3,0.531223544973545,0.023809523809523808,0.8580555555555556
llama-3.1-8b,tv,24,8,0.41321222658957374,0.2179082478353073,0.6327364947695325
gemma-2-9b-it,fv,12,5,0.0,0.0,0.0
gemma-2-9b-it,tv,12,5,0.4413109244344942,0.12100279106858054,0.6712153702060534
llama-3.1-70b,tv,48,16,0.32067413551388935,0.21772338728942392,0.4262524539020703
